"Name","Rarity","Disabled","Character","AbilitySkin","HealthBarZOffset","CosmeticPrice","UnlockLeague","TID","SkinForUI","BackgroundUISkin","GraphicsAsset","EnemyAsset","BaseAsset","AnimationSet","PortraitAsset","IconAsset","AbilityIconAsset","Scale","NoVictoryIntro","OriginalProjectiles","OverrideSkinProjectiles","OriginalSpawnedUnit","OverrideSpawnedUnitSkin","CollectionEffects","CollectionEffectJoints","CollectionShadowJoints","CollectionShadowZ","PreciousJoints","NoMeshMerge","NoRotateInCharPreview","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd"
,,,,,,,,,,,,,,,,,,,,,,,,"bea_evil_preview_trail","bee_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"bea_evil_preview_trail_loop","bee_s",,,,,,,,,,,
"Boss Robot Arcade",0,,"Boss Robot",,-50,,1,"TID_SKIN_DEFAULT",,,"sc3d/bossrobot_arcade_rig.glb",,,"Boss Robot Arcade",,"sc/character_icons.sc#robot_boss_arcade_icon",,160,,,,,,,,,,,,,,,,,,
"Strong Robot Arcade",0,,"Strong Robot",,-40,,1,"TID_SKIN_DEFAULT",,,"sc3d/strongrobot_arcade_rig.glb",,,"Robot Strong Arcade",,"sc/character_icons.sc#robot_strong_arcade_icon",,145,,,,,,,,,,,,,,,,,,
"Mid Robot Arcade",0,,"Mid Robot",,5,,1,"TID_SKIN_DEFAULT",,,"sc3d/robotmid_arcade_rig.glb",,,"Robot Mid Arcade",,"sc/character_icons.sc#robot_mid_arcade_icon",,100,,,,,,,,,,,,,,,,,,
"Tiny Robot Arcade",0,,"Tiny Robot",,5,,1,"TID_SKIN_DEFAULT",,,"sc3d/tinyrobot_arcade_rig.glb",,,"Tiny Robot Arcade",,"sc/character_icons.sc#robot_small_arcade_icon",,130,,,,,,,,,,,,,,,,,,
"Kaiju Arcade",0,,"Kaiju",,-70,,1,"TID_SKIN_DEFAULT",,,"sc3d/kaiju_arcade_rig.glb",,,"Kaiju Arcade",,"sc/character_icons.sc#kaiju_arcade_icon",,180,,,,,,,,,,,,,,,,,,
"Kaiju Godzilla",0,,"Kaiju",,-70,,1,"TID_SKIN_DEFAULT",,,"sc3d/kaiju_godzilla_rig.glb",,,"Kaiju Godzilla",,"sc/character_icons.sc#kaiju_godzilla_icon",,180,,,,,,,,,,,,,,,,,,
"Hog Rider City",2,,"Hog Rider",,-15,,1,"TID_SKIN_HOG_RIDER_CITY",,,"sc3d/hogrider_city_rig.glb",,,"Hog Rider City","sc/portraits_hogrider.sc#hogrider_city_skin","sc/character_icons.sc#hog_rider_icon",,100,,,,,,"hogrider_city_preview_head","head_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"hogrider_city_preview_weapon","hammer_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"hogrider_city_preview","hips_s",,,,,,,,,,,
"Medic Gang",2,,"Medic",,-15,,1,"TID_SKIN_MEDIC_GANG",,,"sc3d/medic_undergroundgang_rig.glb",,,"Medic Gang","sc/portraits_medic.sc#medic_undergroundgang_skin","sc/character_icons.sc#medic_icon",,100,,,,,,,,,,,,,,,,,,
"Greg Hero",1,"TRUE","Greg",,-15,,1,"TID_SKIN_GREG_HERO",,,"sc3d/greg_hero_rig.glb",,,"Greg Hero","sc/portraits_greg.sc#greg_hero_skin","sc/character_icons.sc#greg_icon",,100,,,,,,"greg_hero_preview","hips_s",,,,,,,,,,,
"Barbarian King Origami",1,,"Barbarian King",,-15,,1,"TID_SKIN_BARBARIAN_KING_ORIGAMI",,,"sc3d/barbarianking_origami_rig.glb",,,"Barbarian King Origami","sc/portraits_barbarianking.sc#barbarianking_origami_skin","sc/character_icons.sc#barbarian_king_icon",,100,,,,,,"origami_barbarianking_preview_01",,,,,,,,,,,,
"Witch Oiran",1,,"Witch",,-15,,1,"TID_SKIN_WITCH_OIRAN",,,"sc3d/witch_oiran_rig.glb",,,"Witch Oiran","sc/portraits_witch.sc#witch_orian_skin","sc/character_icons.sc#witch_icon",,100,,,,,,"witch_oiran_preview_guitar","fx_jnt",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"witch_oiran_preview_skull_01","hips_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"witch_oiran_preview_skull_02","head_s",,,,,,,,,,,
"Colt Urban",1,,"Colt",,-15,,1,"TID_SKIN_COLT_URBAN",,,"sc3d/colt_urban_rig.glb",,,"Colt Urban","sc/portraits_colt.sc#colt_urban_skin","sc/character_icons.sc#colt_icon",,100,,,,,,"colt_urban_preview","R_weapon_01_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"colt_urban_preview_head","head_s",,,,,,,,,,,
"Dynamike Hipster",0,,"Dynamike",,-15,,1,"TID_SKIN_DYNAMIKE_HIPSTER",,,"sc3d/dynamike_hipster_rig.glb",,,"Dynamike Hipster","sc/portraits_dynamike.sc#dynamike_hipster_skin","sc/character_icons.sc#dynamike_icon",,100,,,,,,"dynamike_hipster_preview_r","R_fx_jnt",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"dynamike_hipster_preview_l","L_fx_jnt",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"dynamike_hipster_preview","hips_s",,,,,,,,,,,
"BattleHealer Pekka",2,,"BattleHealer",,-15,,1,"TID_SKIN_BATTLE_HEALER_PEKKA",,,"sc3d/battlehealer_pekka_rig.glb",,,"Battle Healer Pekka","sc/portraits_battlehealer.sc#battlehealer_pekka_skin","sc/character_icons.sc#battle_healer_icon",,100,,,,,,"battlehealer_darkarmor_preview_head",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"battlehealer_darkarmor_preview_chest",,,,,,,,,,,,
"Goblin Cookie",1,,"Goblin",,-15,,1,"TID_SKIN_GOBLIN_COOKIE",,,"sc3d/goblin_cookie_rig.glb",,,"Goblin Cookie","sc/portraits_goblin.sc#goblin_cookie_skin","sc/character_icons.sc#goblin_icon",,100,,,,,,"goblin_cookie_preview_part",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"goblin_cookie_preview_line",,,,,,,,,,,,
"Bo Egypt",2,,"Bo",,-15,,1,"TID_SKIN_BO EGYPT",,,"sc3d/bo_egypt_rig.glb",,,"Bo Egypt","sc/portraits_bo.sc#bo_egypt_skin","sc/character_icons.sc#bo_icon",,100,,,,,,"bo_egypt_preview","hips_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"bo_egypt_preview_bow","bow_s",,,,,,,,,,,
"Hog Rider Primitive",2,,"Hog Rider",,-15,,1,"TID_SKIN_HOG_RIDER_PRIMITIVE",,,"sc3d/hogrider_primitive_rig.glb",,,"Hog Rider Primitive","sc/portraits_hogrider.sc#hogrider_primitive_skin","sc/character_icons.sc#hog_rider_icon",,100,,,,,,"hogrider_trike_preview_weapon",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"hogrider_trike_preview_hog",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"hogrider_trike_preview_head",,,,,,,,,,,,
"ElPrimo_Beast",2,,"ElPrimo",,-15,,1,"TID_SKIN_ELPRIMO_BEAST",,,"sc3d/elprimo_beast_rig.glb",,,"Primo Beast","sc/portraits_primo.sc#primo_beast_skin","sc/character_icons.sc#el_primo_icon",,100,,,"primo_projectile_beast",,,"elprimo_beast_preview","head_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"elprimo_beast_preview_smoke","hips_s",,,,,,,,,,,
"ElPrimo_Pina",1,,"ElPrimo",,-15,,1,"TID_SKIN_ELPRIMO_PINA",,,"sc3d/elprimo_pina_rig.glb",,,"Primo Pina","sc/portraits_primo.sc#primo_pina_skin","sc/character_icons.sc#el_primo_icon",,100,,,"primo_projectile_pina",,,"elprimo_pina_preview_r","R_braclet_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"elprimo_pina_preview_l","L_bracelet_s",,,,,,,,,,,
"Dynamike Goblin",2,,"Dynamike",,-15,,1,"TID_SKIN_DYNAMIKE_GOBLIN",,,"sc3d/dynamike_goblin_rig.glb",,,"Dynamike Goblin","sc/portraits_dynamike.sc#dynamike_goblin_skin","sc/character_icons.sc#dynamike_icon",,100,,,,,,"dynamike_goblin_preview_head",,,,,,,,,,,,
"Greg Nutcracker",1,,"Greg",,-15,,1,"TID_SKIN_GREG_NUTCRACKER",,,"sc3d/greg_nutcracker_rig.glb",,,"Greg Nutcracker","sc/portraits_greg.sc#greg_nutcracker_skin","sc/character_icons.sc#greg_icon",,100,,,,,,"greg_nutcracker_preview","hips_s",,,,,,,,,,,
"Medic Wizard",0,,"Medic",,-15,,1,"TID_SKIN_MEDIC_EXPLORER",,,"sc3d/medic_wizard_rig.glb",,,"Medic Wizard","sc/portraits_medic.sc#medic_wizard_skin","sc/character_icons.sc#medic_icon",,100,,,,,,,,,,,,,,,,,,
"Max Purple",0,,"Max",,-15,,1,"TID_SKIN_MAX_PURPLE",,,"sc3d/max_purple_rig.glb",,,"Max Purple","sc/portraits_max.sc#max_purple_skin","sc/character_icons.sc#max_icon",,100,,,,,,"max_purple_preview_hand01",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"max_purple_preview_hand02",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"max_purple_preview_hand03",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"max_purple_preview_hand04",,,,,,,,,,,,
"SpellBigBomb",0,,"SpellBigBomb",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/timer_bomb.glb",,,,,,,860,,,,,,,,,,,,,,,,,,
"Barbarian King Ice",0,,"Barbarian King",,-15,,1,"TID_SKIN_BARBARIAN_KING_ICE",,,"sc3d/barbarian_king_ice_rig.glb",,,"Barbarian King Ice","sc/portraits_barbarianking.sc#barbarianking_ice_skin","sc/character_icons.sc#barbarian_king_icon",,100,,,,,,"barbarianking_ice_preview",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"barbarianking_ice_preview_hit",,,,,,,,,,,,
"Nita Raccoon",0,,"Nita",,-15,,1,"TID_SKIN_NITA_RACCOON",,"Bear Raccoon","sc3d/nita_raccoon_rig.glb",,,"Nita Raccoon","sc/portraits_nita.sc#nita_racoon_skin","sc/character_icons.sc#nita_icon",,100,,,,,"Bear Raccoon","nita_raccoon_preview_head","head_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"nita_raccoon_preview_spin","hips_s",,,,,,,,,,,
"Bear Raccoon",0,,"Bear",,-15,,1,"TID_SKIN_BEAR_TOY",,,"sc3d/nitabear_raccoon_rig.glb",,,"Nita Bear Raccoon",,"sc/character_icons.sc#nita_bear_icon",,100,,,,,,,,,,,,"TRUE",,,,,,
"Shelly Magical",0,,"Shelly",,-15,,1,"TID_SKIN_SHELLY_MAGICAL",,,"sc3d/shelly_magical_rig.glb",,,"Shelly Magical","sc/portraits_shelly.sc#shelly_magical_skin","sc/character_icons.sc#shelly_icon",,100,,,,,,"shelly_magical_preview_light",,,,,,,,,,,,
"Colt Cowboy",2,,"Colt",,-15,,1,"TID_SKIN_COLT_COWBOY",,,"sc3d/colt_cowboy_rig.glb",,,"Colt Cowboy","sc/portraits_colt.sc#colt_sheriff_skin","sc/character_icons.sc#colt_icon",,100,,,,,,"colt_halloween_preview","hips_s",,,,,,,,,,,
"BattleHealer Hero",1,,"BattleHealer",,-15,1500,1,"TID_SKIN_BATTLEHEALER_HERO",,,"sc3d/battlehealer_heroarmor_rig.glb",,,"Battle Healer Hero","sc/portraits_battlehealer.sc#battlehealer_heroarmor_skin","sc/character_icons.sc#battle_healer_icon",,100,,,,,,"battlehealer_hero_preview_slash",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"battlehealer_hero_preview_weapon",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"battlehealer_hero_preview_chest",,,,,,,,,,,,
"Bo Kyudo",1,,"Bo",,-15,,1,"TID_SKIN_BO_KYUDO",,,"sc3d/bo_kyudo_rig.glb",,,"Bo Kyudo","sc/portraits_bo.sc#bo_kyudo_skin","sc/character_icons.sc#bo_icon",,100,,,,,,"bo_hog_preview","chest_s",,,,,,,,,,,
"Goblin Adventure",2,,"Goblin",,-15,,1,"TID_SKIN_GOBLIN_ADVENTURE",,,"sc3d/goblin_adventure_rig.glb",,,"Goblin Adventure","sc/portraits_goblin.sc#goblin_adventure_skin","sc/character_icons.sc#goblin_icon",,100,,,,,,"goblin_adventure_preview_sword",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"goblin_adventure_preview_hand",,,,,,,,,,,,
"Witch Kitsune",1,,"Witch",,-15,,1,"TID_SKIN_WITCH_KITSUNE",,,"sc3d/witch_kitsune_rig.glb",,,"Witch Kitsune","sc/portraits_witch.sc#witch_kitsune_skin","sc/character_icons.sc#witch_icon",,100,,,,,,"witch_kitsune_preview_stick",,,,,,,,,,,,
"GoldenGolem",0,,"Golem",,-40,,1,"TID_SKIN_DEFAULT",,,"sc3d/golden_golem.glb",,,"Golem",,"sc/character_icons.sc#golem_icon",,150,,,,,,,,,,,,,,,,,,
"Barbarian Cyberpunk",0,,"Barbarian",,-15,,1,"TID_SKIN_BARBARIAN_CYBERPUNK",,,"sc3d/barbarian_cyber_rig.glb",,,"Barbarian Cyberpunk","sc/portraits_barbarian.sc#barbarian_cyberpunk_skin","sc/character_icons.sc#barbarian_icon",,100,,,,,"EliteBarbarian Cyberpunk","barbarian_sunburn_preview",,,-40,,,,,,,,,
"EliteBarbarian Cyberpunk",0,,"EliteBarbarian",,-15,,1,"TID_SKIN_BARBARIAN_CYBERPUNK",,,"sc3d/elite_barbarian_cyber_rig.glb",,,"Barbarian Cyberpunk",,,,100,,,,,,,,,,,,,,,,,,
"Dynamike Fungus",2,,"Dynamike",,-15,,1,"TID_SKIN_DYNAMIKE_FUNGUS",,,"sc3d/dynamike_fungus_rig.glb",,,"Dynamike Fungus","sc/portraits_dynamike.sc#dynamike_fungus_skin","sc/character_icons.sc#dynamike_icon",,100,,,,,,"dynamike_samurai_preview_r",,,,,,,,,,,,
"Hog Rider Dark",1,,"Hog Rider",,-15,,1,"TID_SKIN_HOG_RIDER_DARK",,,"sc3d/hogrider_dark_rig.glb",,,"Hog Rider Dark","sc/portraits_hogrider.sc#hogrider_dark_skin","sc/character_icons.sc#hog_rider_icon",,100,,,,,,,,,,,,,,,,,,
"Witch_Shinigami",1,,"Witch",,-15,1500,1,"TID_SKIN_WITCH_SHINIGAMI",,,"sc3d/witch_shinigami_rig.glb",,,"Witch Shinigami","sc/portraits_witch.sc#witch_forest_skin","sc/character_icons.sc#witch_icon",,100,,,,,,"witch_forest_preview_r","R_weapon_01_s",,,,,,,,,,,
