"TID_CONFIRM_WORD","CONFIRM","CONFIRMER","BESTÄTIGEN","CONFIRMAR","CONFERMA","BEVESTIGEN","ONAYLA","かくてい","확인","ПОДТВЕРДИТЬ","التأكيد","CONFIRMAR","确认","確認","KONFIRMASI","ยืนยัน","VAHVISTA"
"TID_NAME_CHANGED_SUCCESS","Your name was changed!","Votre nom a bien été changé !","Dein Name wurde geändert!","Se ha cambiado el nombre.","Hai cambiato il nome.","Je naam is gewijzigd!","Adın değiştirildi!","名前を変更しました！","이름이 변경되었습니다!","Имя изменено!","تم تغيير اسمك!","O nome foi alterado!","你已成功更改名称！","你已成功更改名稱！","Nama berhasil diganti!","เปลี่ยนชื่อแล้ว!","Nimesi vaihdettiin!"
"TID_NAME_CHANGE_IN_PROGRESS","Cannot change name. Previous name change is in progress.","Impossible de changer de nom. Le changement de nom précédent est en cours.","Dein Name konnte nicht geändert werden. Eine vorherige Änderung des Namens wird noch verarbeitet.","No se puede cambiar el nombre. El proceso de cambio de nombre anterior todavía está en curso.","Impossibile cambiare il nome. Il cambio del nome precedente è ancora in corso.","Je kunt je naam niet wijzigen. De vorige naamswijziging is nog niet voltooid.","Ad değiştirilemiyor. Önceki ad değişikliği isteği henüz tamamlanmadı.","前回の名前変更の処理が終わっていないため、名前を変更できません。","이름을 변경할 수 없습니다. 이전에 제출한 이름 변경이 진행 중입니다.","Нельзя сменить имя. Предыдущая смена имени ещё не завершена.","تعذر تغيير الاسم. عملية تغيير الاسم السابق ما زالت قيد التقدم.","Ação indisponível. A mudança de nome anterior ainda está em andamento.","无法更改名称，之前的改名操作尚未完成。","無法更改名稱，之前的改名操作尚未完成。","Gagal mengganti nama. Permintaan ganti nama sebelumnya masih diproses.","ไม่สามารถเปลี่ยนชื่อได้ กำลังอยู่ในขั้นตอนการเปลี่ยนชื่อก่อนหน้า","Nimeä ei voi vaihtaa. Edellinen nimenvaihto on käsittelyssä."
"TID_NEW_MAP","New Map In:","Nouvelle carte :","Neue Map in:","Nuevo mapa dentro de:","Nuova mappa tra:","Nieuwe kaart over:","Sonraki Harita:","マップの更新まで：","다음 맵 등장까지:","До появления новой карты:","خريطة جديدة بعد:","Novo mapa em:","地图刷新：","地圖刷新倒數：","Peta Baru dalam:","แผนที่ใหม่ใน:","Uusi kenttä ajassa:"
"TID_LEAGUE_GRASSLANDS","GREEN WORLD","LIGUE VERTE","GRÜNE LIGA","LIGA ESMERALDA","LEGA VERDE","GROENE DIVISIE","YEŞİL LİG","グリーンリーグ","초록 리그","ЗЕЛЁНЫЙ МИР","الدوري الأخضر","LIGA VERDE","绿野联赛","草原聯賽","LIGA HIJAU","ลีกเขียว","VIHREÄ LIIGA"
"TID_LEAGUE_DESERT","DESERT WORLD","LIGUE DÉSERT","WÜSTENLIGA","LIGA DESÉRTICA","LEGA DESERTICA","WOESTIJNDIVISIE","ÇÖL LİGİ","デザートリーグ","사막 리그","ПУСТЫННЫЙ МИР","دوري الصحراء","LIGA DESERTO","沙漠联赛","沙漠聯賽","LIGA GURUN","ลีกทะเลทราย","AAVIKKOLIIGA"
"TID_LEAGUE_CITADEL","ROYAL WORLD","LIGUE ROYALE","ROYALE LIGA","LIGA ROYALE","LEGA ROYALE","KONINKLIJKE DIVISIE","KRALİYET LİGİ","ロイヤルリーグ","로얄 리그","КОРОЛЕВСКИЙ МИР","الدوري الملكي","LIGA REAL","皇室联赛","皇家聯賽","LIGA ROYAL","ลีกรอยัล","KUNINGASLIIGA"
"TID_LEAGUE_BEACH","BEACH WORLD","LIGUE PLAGE","STRANDLIGA","LIGA PLAYERA","LEGA MARITTIMA","STRANDDIVISIE","SAHİL LİGİ","ビーチリーグ","해변 리그","ПЛЯЖНЫЙ МИР","دوري الشاطئ","LIGA PRAIA","海滩联赛","海灘聯賽","LIGA PANTAI","ลีกชายหาด","RANTALIIGA"
"TID_LEAGUE_LAVA","LAVA WORLD","LIGUE LAVE","LAVALIGA","LIGA MAGMÁTICA","LEGA LAVICA","LAVADIVISIE","LAV LİGİ","ラヴァリーグ","용암 리그","ЛАВОВЫЙ МИР","دوري الحمم","LIGA LAVA","熔岩联赛","熔岩聯賽","LIGA LAVA","ลีกลาวา","LAAVALIIGA"
"TID_LEAGUE_SNOWPEAK","ICE WORLD","LIGUE GLACE","EISLIGA","LIGA NÍVEA","LEGA GHIACCIATA","IJSDIVISIE","BUZ LİGİ","アイスリーグ","얼음 리그","ЛЕДЯНОЙ МИР","دوري الثلج","LIGA GELO","寒冰联赛","寒冰聯賽","LIGA ES","ลีกน้ำแข็ง","JÄÄLIIGA"
"TID_LEAGUE_ARCADE","ARCADE WORLD","LIGUE ARCADE","ARCADELIGA","LIGA ARCADE","LEGA ARCADE","ARCADEDIVISIE","OYUN LİGİ","アーケードリーグ","아케이드 리그","АРКАДНЫЙ МИР","دوري الآركيد","LIGA FLIPERAMA","电玩联赛","電玩聯賽","LIGA ARKADE","ลีกอาเขต","PELILUOLALIIGA"
"TID_LEAGUES","WORLDS","LIGUES","LIGEN","LIGAS","LEGHE","DIVISIES","LİGLER","リーグ","리그","ЛИГИ","الدوريات","LIGAS","联赛","聯賽","LIGA","ลีก","LIIGAT"
"TID_BARBARIAN_KING","Barbarian King","Roi des barbares","Barbarenkönig","Rey bárbaro","Re barbaro","Barbarenkoning","Barbar Kral","バーバリアンキング","바바리안 킹","Король варваров","الملك البربري","Rei Bárbaro","野蛮人之王","野蠻人之王","Raja Barbar","ราชันคนเถื่อน","Barbaarikuningas"
"TID_BARBARIAN_KING_SPECIAL","Melee units in your area attack <value>% faster","Les unités de mêlée dans la zone attaquent <value> % plus vite.","Nahkampfeinheiten in deinem Bereich greifen <value> % schneller an.","Las unidades cuerpo a cuerpo en tu área atacan un <value> % más rápido.","La velocità di attacco delle unità a corpo a corpo nella tua area aumenta del <value>%.","Mêlée-eenheden in je buurt vallen <value>% sneller aan.","Bölgendeki yakın mesafe birimleri %<value> daha hızlı saldırır.","自分のエリア内にいる近接ユニットの攻撃速度が<value>％上昇","영역 내의 근접 유닛의 공격 속도가 <value>% 증가합니다.","Воины ближнего боя на твоей территории атакуют на <value> % быстрее.","ستهاجم وحدات الاشتباك في منطقتك أسرع بنسبة <value>%","Unidades corpo a corpo em sua área atacam <value>% mais rápido","小队范围内所有近战单位的攻击速度提升<value>%。","突擊隊範圍內所有近戰單位的攻擊速度提升<value>%。","Unit jarak dekat dalam area akan menyerang <value>% lebih cepat","หน่วยระยะใกล้ในพื้นที่ของคุณโจมตีเร็วขึ้น <value>%","Alueellasi olevat lähitaisteluyksiköt hyökkäävät <value> % nopeammin."
"TID_DOTS","…","…","...","...","…","…","…","...","…","…","…","...","…","…","…","…","..."
"TID_CHEST_COMMON","Common Chest","Coffre commun","Gewöhnliche Truhe","Cofre común","Baule comune","Gewone kist","Sıradan Sandık","ノーマル宝箱","일반 상자","Обычный сундук","صندوق شائع","Baú comum","普通宝箱","普通寶箱","Peti Umum","หีบคอมมอน","Yleinen arkku"
"TID_CHEST_RARE","Rare Chest","Coffre rare","Seltene Truhe","Cofre especial","Baule raro","Zeldzame kist","Ender Sandık","レア宝箱","희귀 상자","Редкий сундук","صندوق نادر","Baú raro","稀有宝箱","稀有寶箱","Peti Langka","หีบแรร์","Harvinainen arkku"
"TID_CHEST_EPIC","Epic Chest","Coffre épique","Epische Truhe","Cofre épico","Baule epico","Epische kist","Destansı Sandık","スーパーレア宝箱","영웅 상자","Эпический сундук","صندوق استثنائي","Baú épico","史诗宝箱","史詩寶箱","Peti Epik","หีบอีปิค","Eeppinen arkku"
"TID_BARBARIAN_SPECIAL_UPGRADE","Elite Barbarian gets <value>% more health","Augmente la santé du barbare d'élite de <value> %","Der Elitebarbar erhält <value> % mehr Trefferpunkte","El bárbaro de élite consigue un <value> % más de puntos de vida.","Il barbaro scelto riceve il <value>% di salute in più.","Elitebarbaren krijgen <value>% meer gezondheid.","Elit barbar %<value> daha fazla sağlık kazanır.","エリートバーバリアンのHPが<value>％上昇","엘리트 바바리안의 체력이 <value>% 증가합니다.","Здоровье элитного варвара увеличивается на <value> %.","يحصل البربري الممتاز على <value>% من الصحة الإضافية","Bárbaros de Elite têm <value>% mais saúde.","野蛮人精锐的生命值提升<value>%。","精銳野蠻人的生命值提升<value>%。","Orang Barbar Elite akan memiliki nyawa <value>% lebih banyak","คนเถื่อนยอดฝีมือมีพลังชีวิตเพิ่มขึ้น <value>%","Eliittibarbaari saa <value> % lisää elinvoimaa."
"TID_GOBLIN_SPECIAL_UPGRADE","Coins for busting 8 foes increased to <value>","Offre <value> pièces bonus après <super> ennemis butés","Gewährt <value> mehr Münzen, nachdem <super> Feinde gebustet wurden.","Cuando derrotan a <super> enemigos, se obtienen <value> monedas más.","Dà <value> monete in più dopo aver annientato <super> nemici.","Geeft <value> extra munten na het verslaan van <super> vijanden.","<super> düşman yok ettikten sonra fazladan <value> altın verir.","敵を<super>体倒すとコインを追加で<value>枚付与","적 <super>명 처치 후 코인 <value>개를 추가로 줍니다.","Приносит больше монет (ещё <value>) после победы над <super> врагами.","يمنح <value> من النقود الإضافية بعد إقصاء الإعداء من فئة <super>","Proporciona mais <value> moedas após derrotar <super> inimigos.","击倒<super>个敌人后可多提供<value>金币。","擊倒<super>個敵人後額外提供<value>金幣。","Memberikan <value> Koin ekstra setelah menumbangkan <super> lawan","ให้เหรียญเพิ่มอีก <value> เหรียญหลังปราบศัตรู <super> คน","Antaa <value> lisäkolikkoa <super> vastustajan jyräämisen jälkeen."
"TID_GREG_SPECIAL_UPGRADE","Gets <value>% more loot from Trees","Augmente le butin récupéré grâce aux arbres de <value> %","Du erhältst <value> % mehr Beute aus Bäumen.","Consigue un <value> % más de botín de los árboles.","Recupera il <value>% in più di bottino dagli alberi.","Verkrijgt <value>% extra buit via bomen.","Ağaçlar %<value> daha fazla ödül verir.","木から獲得できるアイテムが<value>％増加","나무에서 <value>% 더 많은 전리품을 얻습니다.","Получает на <value> % больше добычи, срубая деревья.","يمنح <value>% من الغنيمة من الأشجار","Encontra <value>% mais recursos nas árvores.","从树上获得的战利品提升<value>%。","砍樹獲得的戰利品提升<value>%。","Rampasan dari Pohon meningkat <value>%","รับของปล้นจากต้นไม้เพิ่มขึ้นอีก <value>%","Saa <value> % enemmän saalista puista."
"TID_MAVIS_SPECIAL_UPGRADE_LEVEL1","Pick <super> Carrots to throw a barrage of Carrots","Récupérez <super> carottes pour lancer un barrage de carottes","Ernte <super> Karotten, um ein Karottenbombardement zu verschießen.","Recolecta <super> zanahorias para lanzar una ráfaga de zanahorias.","Lancia una raffica di carote dopo averne raccolte <super>.","Verzamel <super> wortels om een spervuur van wortels te lanceren.","<super> havuç topladığında bir havuç salvosu gönderir.","ニンジンを<super>個拾うとニンジンを一斉射撃","당근 <super>개를 캐내 당근 로켓포를 던집니다.","Собери морковь (<super>), чтобы устроить морковный обстрел.","اجمع <super> من الجزر لإطلاق وابل هجوم الجزر","Colha <super> cenouras para disparar uma salva de cenouras.","采摘<super>根胡萝卜可发射胡萝卜火箭炮。","收集<super>根胡蘿蔔後，可以發射1發胡蘿蔔火箭炮。","Memanen <super> Wortel lalu melemparkan berondongan Wortel","หยิบแครอท <super> หัวเพื่อระดมปาเป็นกระสุน","Ammu porkkanahyökkäys poimimalla <super> porkkanaa."
"TID_COLT_SPECIAL_UPGRADE","Deals <value>% more damage after bullet storm","Augmente les dégâts de <value> % après avoir lancé Pluie de balles","Verursacht <value> % mehr Schaden nachdem Kugelhagel eingesetzt wurde.","Inflige un <value> % más de daño tras usar la tormenta de balas.","Causa il <value>% di danni in più dopo la Tempesta di piombo.","Brengt <value>% extra schade aan na een kogelstorm.","Mermi fırtınasından sonra %<value> daha fazla hasar verir.","ブレットストーム発動後の与ダメージが<value>％上昇","불렛 스톰 발동 후 <value>%의 추가 피해를 줍니다.","Наносит на <value> % больше урона после пулевого шторма.","يلحق ضررًا أكثر بنسبة <value>% بعد عاصفة الرصاص","Inflige <value>% mais dano após a salva de balas.","发射子弹风暴后，伤害提升<value>%。","發射狂彈風暴後，傷害提升<value>%。","Kerusakan akan meningkat <value>% setelah mengerahkan Badai Peluru","สร้างความเสียหายเพิ่มขึ้น <value>% หลังใช้พายุกระสุน","Aiheuttaa <value> % enemmän tuhoa luotisateen jälkeen."
"TID_EL_PRIMO_SPECIAL_UPGRADE","Heals <value>% after leaping","Se soigne de <value> % après le saut","Heilt <value> % Trefferpunkte nach einem Sprung.","Recupera un <value> % de puntos de vida tras saltar.","Cura il <value>% della salute dopo un salto.","Herstelt <value>% gezondheid na het gebruik van zijn super.","Atladıktan sonra %<value> iyileşir.","スラムアタック発動後にHPを<value>％回復","점프 사용 후 <value>%의 HP를 회복합니다.","Восстанавливает <value> % здоровья после прыжка.","يتعافى بسرعة أكبر بنسبة <value>% بعد القفز","Recupera <value>% de saúde após saltar.","跳起来后可恢复<value>%的生命值。","跳起來後可恢複<value>%生命值。","Nyawa akan pulih <value>% setelah kemampuan spesial aktif","เยียวยา <value>% หลังกระโดด","Parantaa <value> % loikkaamisen jälkeen."
"TID_SHELLY_SPECIAL_UPGRADE","Blast deals <value>% more damage","Augmente les dégâts du coup étourdissant de <value> %","Der Betäubungsangriff verursacht <value> % mehr Schaden.","El disparo aturdidor inflige un <value> % más de daño.","Il colpo stordente causa il <value>% di danni in più.","Shelly's schot brengt <value>% meer schade toe.","Patlama %<value> daha fazla hasar verir.","スタニングブラストの与ダメージが<value>％上昇","블래스트 피해량이 <value>% 증가합니다.","Залп наносит на <value> % больше урона.","يلحق الانفجار ضررًا أكبر بنسبة <value>%","A explosão inflige <value>% mais dano.","超级霰弹造成的伤害提升<value>%。","超級散彈的傷害提升<value>%。","Ledakan memberikan kerusakan <value>% lebih besar","ระเบิดสร้างความเสียหายเพิ่มขึ้น <value>%","Pamaus aiheuttaa <value> % enemmän tuhoa."
"TID_WITCH_SPECIAL_UPGRADE","Skeletons get <value>% more Health and damage","Augmente la santé et les dégâts des squelettes de <value> %","Die Trefferpunkte und der Schaden der Skelette wird um <value> % erhöht.","Los esqueletos reciben un <value> % más de los puntos de vida y de daño.","Gli scheletri ottengono un bonus del <value>% ai danni causati e alla salute.","Skeletten krijgen <value>% extra gezondheid en aanvalsschade.","İskeletlerin canını ve hasarını %<value> artırır.","スケルトンのHPと与ダメージが<value>％上昇","해골 병사의 HP와 피해량이 <value>% 증가합니다.","Запас здоровья и урон скелетов увеличиваются на <value> %.","تحصل الهياكل العظمية على صحة وضرر أكبر بنسبة <value>%","Os Esqueletos recuperam <value>% mais saúde e dano.","骷髅兵的生命值和伤害提升<value>%。","骷髏兵的生命值和傷害提升<value>%。","Nyawa dan Kerusakan Jerangkong ditingkatkan <value>%","โครงกระดูกมีความเสียหายและพลังชีวิตเพิ่มขึ้น <value>%","Luurangot saavat <value> % enemmän elin- ja tuhovoimaa."
"TID_CHICKEN_SPECIAL_UPGRADE","Turbo boost improved <value>%","Le turbo est amélioré de <value> %","Der Turboboost wird um <value> % erhöht.","Se mejora el potenciador de turbo en un <value> %.","Il turbo è migliorato del <value>%.","De turboboost wordt verhoogd met <value>%.","Turboyu %<value> hızlandırır.","ターボの効果が<value>％上昇","터보 부스터의 효과가 <value>% 향상됩니다.","Турбоускоритель ускоряется на <value> %.","تحسين تعزيز الحذاء التوربيني بنسبة <value>%","O Turbo aumenta em <value>%.","疾速效果提升<value>%。","渦輪效果提升<value>%。","Turbo ditingkatkan <value>%","บูสต์เทอร์โบดีขึ้น <value>%","Turbotehostus paranee <value> %."
"TID_HEAVY_SPECIAL_UPGRADE","Squad ranged units get <value>% more Health","Augmente la santé des unités à distance de <value> %","Fernkämpfer im Squad erhalten <value> % mehr Trefferpunkte.","Las unidades de largo alcance tienen un <value> % más de los puntos de vida.","Le unità a distanza della squadra ricevono il <value>% di salute in più.","Afstandseenheden in de squad krijgen <value>% extra gezondheid.","Takımdaki menzilli birimlerin canı %<value> artar.","スクワッド内の遠距離ユニットのHPが<value>％上昇","원거리 유닛의 HP가 <value>% 증가합니다.","Воины дальнего боя получают на <value> % больше здоровья.","تحصل وحدات الفرقة بعيدة المدى على صحة أكثر بنسبة <value>%","Unidades de ataque à distância obtêm <value>% mais saúde.","小队中远程单位的生命值提升<value>%。","突擊隊中遠程單位的生命值提升<value>%。","Nyawa unit jarak jauh dalam Skuad meningkat <value>%","หน่วยระยะไกลของก๊วนมีพลังชีวิตเพิ่มขึ้น <value>%","Ryhmän pitkän kantaman yksiköt saavat <value> % enemmän elinvoimaa."
"TID_NITA_SPECIAL_UPGRADE","Bear deals <value>% more damage","Augmente les dégâts de l'ours de <value> %","Der Bär verursacht <value> % mehr Schaden.","El oso inflige un <value> % más de daño.","L'orso causa il <value>% dei danni in più.","De beer richt <value>% meer schade aan.","Ayı %<value> daha fazla hasar verir.","クマの与ダメージが<value>％上昇","곰의 피해량이 <value>% 증가합니다.","Медведь наносит на <value> % больше урона.","يلحق الدب ضررًا أكبر بنسبة <value>%","O urso inflige <value>% mais dano.","熊灵造成的伤害提升<value>%。","熊靈的傷害提升<value>%。","Beruang memberikan kerusakan <value>% lebih banyak","หมีสร้างความเสียหายเพิ่มขึ้น <value>%","Karhu aiheuttaa <value> % enemmän tuhoa."
"TID_BARBARIAN_KING_SPECIAL_UPGRADE","Squad melee units get <value>% more Health","Augmente la santé des unités de mêlée de <value> %","Nahkämpfer im Squad erhalten <value> % mehr Trefferpunkte.","Las unidades cuerpo a cuerpo tienen un <value> % más de los puntos de vida.","Le unità corpo a corpo della squadra ricevono il <value>% di salute in più.","Mêlée-eenheden in de squad krijgen <value>% extra gezondheid.","Takımdaki yakın mesafe birimlerin canı %<value> artar.","スクワッド内の近接ユニットのHPが<value>％上昇","근접 유닛의 HP가 <value>% 증가합니다.","Воины ближнего боя получают на <value> % больше здоровья.","تحصل وحدات اشتباك الفرقة على صحة أكثر بنسبة <value>%","Unidades corpo a corpo obtêm <value>% mais saúde.","小队中近战单位的生命值提升<value>%。","突擊隊中近戰單位的生命值提升<value>%。","Unit Skuad jarak dekat mendapatkan Nyawa <value>% lebih banyak","หน่วยระยะใกล้ของก๊วนมีพลังชีวิตเพิ่มขึ้น <value>%","Ryhmän lähikontaktiyksiköt saavat <value> % enemmän elinvoimaa."
"TID_BO_SPECIAL_UPGRADE","Damage to Monsters improved <value>%","Augmente les dégâts infligés aux monstres de <value> %","Der Schaden an Monstern ist <value> % höher.","Se aumenta el daño a los monstruos en un <value> %.","I danni causati ai mostri aumentano del <value>%.","Schade aan monsters wordt verhoogd met <value>%.","Canavarlara verilen hasarı %<value> artırır.","モンスターへの与ダメージが<value>％上昇","몬스터에게 <value>%의 추가 피해를 줍니다.","Урон монстрам увеличивается на <value> %.","يتحسن الضرر الملحق بالوحوش بنسبة <value>%","O dano aos monstros aumenta em <value>%.","对怪物造成的伤害提升<value>%。","對怪物的傷害提升<value>%。","Kerusakan terhadap Monster ditingkatkan <value>%","ความเสียหายที่ทำต่อมอนสเตอร์ดีขึ้น <value>%","Monstereille aiheutettu tuho kasvaa <value> %."
"TID_MAX_SPECIAL_UPGRADE","Deals <value>% more damage while speed boosted","Augmente les dégâts infligés lors d'un boost de vitesse de <value> %","Verursacht <value> % mehr Schaden, während das Tempo erhöht ist.","Inflige un <value> % más de daño cuando usa un potenciador de velocidad.","Causa il <value>% di danni in più mentre la velocità è potenziata.","Richt <value>% meer schade aan tijdens een snelheidsboost.","Hızlandırma kullanıldığında %<value> daha fazla hasar verir.","移動速度上昇中の与ダメージが<value>％上昇","속도 부스터가 활성화되어 있을 때 <value>%의 추가 피해를 줍니다.","Макс наносит на <value> % больше урона при ускорении.","تلحق ضررًا أكبر بنسبة <value>% أثناء تعزيز السرعة","Inflige <value>% mais dano com o aumento na velocidade.","获得速度加成时，造成的伤害提升<value>%。","獲得加速效果時，傷害提升<value>%。","Memberikan kerusakan <value>% lebih besar saat kecepatan ditingkatkan","ความเสียหายเพิ่มขึ้น <value>% ในขณะที่บูสต์ความเร็ว","Aiheuttaa <value> % enemmän tuhoa, kun nopeutta on tehostettu."
"TID_BATTLE_HEALER_SPECIAL_UPGRADE","Health boost improved by <value>","Augmente le boost de santé de <value> %","Der Trefferpunkte-Boost ist <value> TP höher.","Se mejora el potenciador de salud en un <value> %.","L'aumento della salute migliora del <value>%.","Verhoogt de gezondheidsboost met <value>%.","Can artışı %<value> fazla olur.","HPの上昇量が<value>増加","HP 부스터의 효과가 <value>% 향상됩니다.","Здоровье дополнительно увеличивается на <value> %.","تحسين تعزيز الصحة بمقدار <value>","A saúde aumenta em <value> pontos.","生命值加成提升<value>。","生命值加成提升<value>。","Peningkat Nyawa ditingkatkan sebesar <value>","บูสต์พลังชีวิตดีขึ้น <value> หน่วย","Elinvoiman tehostus paranee <value>."
"TID_MEDIC_SPECIAL_UPGRADE","Has <value>% stronger healing","Augmente les soins de <value> %","Verstärkt die Heilung um <value> %.","Su habilidad de curación es un <value> % más poderosa.","Le abilità curative del medico migliorano del <value>%.","Het genezingseffect wordt met <value>% verhoogd.","%<value> daha fazla iyileştirir.","特殊能力による回復量が<value>％上昇","회복 속도가 <value>% 빨라집니다.","Восстанавливает на <value> % больше здоровья.","تزيد قدرة التعافي بنسبة <value>%","A cura fica <value>% mais forte.","治疗效果提升<value>%。","治療效果提升<value>%。","Kekuatan penyembuhan meningkat <value>%","เยียวยาแรงขึ้น <value>%","Parantaa <value> % tehokkaammin."
"TID_LEON_SPECIAL_UPGRADE_LEVEL1","Bust <super> foes to throw a flurry of throwing stars","Butez <super> ennemis pour lancer une salve de shurikens","Buste <super> Feinde, um einen Hagel an Wurfsternen zu schleudern.","Pilla a <super> enemigos y arroja una lluvia de estrellas ninja.","Lancia una raffica di shuriken dopo aver annientato <super> nemici.","Versla <super> vijanden om werpsterren te gooien.","<super> düşman yok ettiğinde bir grup ninja yıldızı atar.","敵を<super>体倒すと手裏剣を速射","적 <super>명 처치 시 수리검을 흩뿌립니다.","Победи врагов (<super>) для атаки вихрем сюрикенов.","قم بإقصاء <super> من الأعداء لرمي مجموعة من شفرات النجوم","Derrote <super> inimigos para disparar uma salva de shurikens.","击倒<super>个敌人可扔出一排星镖。","擊倒<super>個敵人可丟出一排手裏劍。","Melemparkan belati berputar saat menumbangkan <super> lawan","ปราบศัตรู <super> คนเพื่อกระหน่ำปาดาว","Ammu heittotähtihyökkäys jyräämällä <super> vihollista."
"TID_BATTLE_EMOTES","Emotes","Émotes","Emotes","Reacciones","Reazioni","Emotes","İfadeler","スタンプ","이모티콘","Эмодзи","التعبيرات","Emotes","表情","表情","Emote","อีโมจิ","Emootiot"
"TID_COMMON_CHEST","Common Chest","Coffre commun","Gewöhnliche Truhe","Cofre común","Baule comune","Gewone kist","Sıradan Sandık","ノーマル宝箱","일반 상자","Обычный сундук","صندوق شائع","Baú comum","普通宝箱","普通寶箱","Peti Umum","หีบคอมมอน","Yleinen arkku"
"TID_RARE_CHEST","Rare Chest","Coffre rare","Seltene Truhe","Cofre especial","Baule raro","Zeldzame kist","Ender Sandık","レア宝箱","희귀 상자","Редкий сундук","صندوق نادر","Baú raro","稀有宝箱","稀有寶箱","Peti Langka","หีบแรร์","Harvinainen arkku"
"TID_EPIC_CHEST","Epic Chest","Coffre épique","Epische Truhe","Cofre épico","Baule epico","Epische kist","Destansı Sandık","スーパーレア宝箱","영웅 상자","Эпический сундук","صندوق استثنائي","Baú épico","史诗宝箱","史詩寶箱","Peti Epik","หีบอีปิค","Eeppinen arkku"
"TID_DIAMOND_CHEST","Diamond Chest","Coffre diamant","Diamantentruhe","Cofre diamante","Baule di diamanti","Diamanten kist","Elmas Sandığı","ダイヤモンド宝箱","다이아몬드 상자","Алмазный сундук","صندوق ماسي","Baú de diamante","钻石宝箱","鑽石寶箱","Peti Berlian","หีบเพชร","Timanttiarkku"
"TID_ALLIANCE","SQUAD","SQUAD","SQUAD","ESCUADRÓN","SQUADRA","SQUAD","TAKIM","スクワッド","스쿼드","ОТРЯД","الفرقة","ESQUADRÃO","小队","突擊隊","SKUAD","ก๊วน","RYHMÄ"
"TID_OPEN_NOW","OPEN NOW","OUVRIR","JETZT ÖFFNEN","ABRIR AHORA","APRI ORA","NU OPENEN","ŞİMDİ AÇIK","今すぐ解放","지금 열기","ОТКРЫТЬ СЕЙЧАС","الفتح الآن","ABRIR AGORA","立即开启","立即開啟","BUKA SEKARANG","เปิดเลย","AVOINNA NYT"
"TID_BOWLER","Bowler","Bouliste","Bowler","Lanzarrocas","Bocciatore","Bowler","Atıcı","ボウラー","볼러","Вышибала","باولر","Lançador","巨石投手","巨石投手","Bowler","นักขว้างหิน","Keilaaja"
"TID_QUEUE","Waiting..","En attente...","Wartet ...","Esperando...","In attesa...","Wachten...","Bekleniyor...","待機中...","기다리는 중...","Ожидание...","قيد الانتظار...","Aguardando...","等待中...","等待中...","Menunggu ...","กำลังรอ..","Odotetaan..."
"TID_NEW_LEAGUE_REACHED","New World Reached!","Nouvelle ligue atteinte !","Neue Liga erreicht!","¡Has alcanzado una liga nueva!","Hai raggiunto una nuova lega!","Nieuwe divisie bereikt!","Yeni lige ulaşıldı!","新リーグに到達！","신규 리그 진출!","Достигнут новый мир!","وصلت إلى دوري جديد!","Você alcançou uma nova liga!","进入新联赛!","進入新聯賽!","Liga Baru Tercapai!","ถึงลีกใหม่แล้ว!","Pääsit uuteen liigaan!"
"TID_BUTTON_GOTO_SHOP","Open Shop","Magasin","Shop öffnen","Ir a la tienda","Apri negozio","Winkel openen","Dükkanı aç","ショップに移動","상점 열기","В магазин","فتح المظهر","Abrir loja","前往商店","打開商店","Buka Toko","เปิดร้านค้า","Avaa kauppa"
"TID_NO_SPELLS","NO SPELLS","AUCUN SORT","KEINE ZAUBER","SIN HECHIZOS","NESSUN INCANTESIMO","GEEN SPREUKEN","BÜYÜ YOK","呪文がありません","마법이 없습니다","НЕТ ЗАКЛИНАНИЙ","لا توجد تعويذات","SEM FEITIÇOS","没有法术","沒有法術","TIDAK ADA MANTRA","ไม่มีอาคม","EI LOITSUJA"
"TID_NO_EVENT","No Map…","Aucune carte...","Keine Map ...","Sin mapas...","Nessuna mappa...","Geen kaart...","Harita yok…","マップがありません...","맵이 없습니다...","Нет карты...","لا خريطة...","Sem mapas...","没有地图...","沒有地圖...","Tidak Ada Peta ....","ไม่มีแผนที่...","Ei kenttää..."
"TID_LEAGUE_NUM","World <num>","Ligue <num>","Liga <num>","Liga <num>","Lega n. <num>","Divisie <num>","<num>. Lig","リーグ<num>","리그 <num>","<num>-й мир","الدوري <num>","Liga <num>","<num>级联赛","<num>級聯賽","Liga <num>","ลีก <num>","Liiga <num>"
"TID_SOLO","SOLO","SOLO","SOLO","SOLITARIO","IN SINGOLO","SOLO","TEK","ソロ","솔로","ОДИНОЧНЫЙ","فردي","SOLITÁRIO","单人","單人","SOLO","คนเดียว","SOOLO"
"TID_PICK_GAME_MODE","Pick a Game Mode:","Choix du mode :","Wähle einen Spielmodus:","Elige un modo de juego:","Scegli una modalità di gioco:","Kies een spelmodus:","Oyun modunu seç:","ゲームモードを選択：","게임 모드를 선택하세요:","Выбери игровой режим:","اختر وضع لعب:","Escolha um modo de jogo:","选择游戏模式：","選擇遊戲模式：","Pilih Mode Laga:","เลือกโหมดเกม:","Valitse pelitila:"
"TID_DUO","DUO","DUO","DUO","DÚO","IN COPPIA","DUO","İKİLİ","デュオ","듀오","ПАРНЫЙ","زوجي","DUPLA","双人","雙人","DUO","สองคน","DUO"
